id_faq;categorie;ordre;question;reponse_markdown;mots_cles;id_ecran;actif;source;commentaire
FAQ-011;EXAMEN;11;L'examen est-il difficile ?;Cela dépend du type d'examen que vous passez. Le niveau pour la carte de séjour pluriannuelle est accessible, il demande du bon sens et une connaissance de base des cinq grandes thématiques (principes et valeurs de la République, Droits et devoirs...). Le niveau pour la carte de résident est plus difficile et nécessite d'apprendre des dates historiques et le fonctionnement des institutions. Enfin le niveau pour la naturalisation est le plux exigeant des trois. Les questions sont plus approfondies sur l'histoire, la culture ou encore les institutions françaises.;"examen; difficile";SCR_FAQ_011;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-012;EXAMEN;12;Quel est le niveau de français requis pour passer l'examen ?;L'examen se déroule uniquement en français, sans traduction disponible. Les questions sont formulées simplement (niveau A2/B1). Les questions sont des QCM aussi bien pour les 28 questions de connaissances générales que les 12 mises en situation.;"niveau; français; requis; passer; examen";SCR_FAQ_012;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-013;EXAMEN;13;Existe-t-il des questions pièges dans cet examen ?;"Oui, notamment pour les ""mises en situation"" qui vous poussent à raisonner et à évaluer votre compréhension d'une situation en fonction des connaissances que vous avez acqusise. Exemple : Une entreprise refuse de recruter une personne en situation d'handicap. Quelle valeur républicaine n'est pas respectée ? 

Conseil : Lisez bien les mots comme ""toujours"", ""jamais"" ou ""interdit"" qui vous donneront des indices pour répondre.";"existe; questions; pièges; dans; cet; examen";SCR_FAQ_013;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-014;EXAMEN;14;Qui peut être dispensé de passer l'examen civique ?;"Les dispenses dépendent du titre demandé — il n'existe pas de liste universelle. Pour la CSP : Passeport Talent (hors CIR), protection subsidiaire et apatrides (et familles), 65 ans ou plus, dispense médicale. Pour la carte de résident longue durée-UE, certains de ces statuts peuvent être concernés par l'examen. Pour la naturalisation, seule la dispense médicale est officiellement documentée ; la dispense à 65 ans n'y est pas explicitement confirmée. Vérifiez toujours la fiche Service-Public correspondant à votre démarche exacte. Les renouvellements de titre ne nécessitent pas l'examen.";"être; dispensé; passer; examen; civique";SCR_FAQ_014;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-015;EXAMEN;15;Peut-on repasser l'examen si on échoue ?;Oui, il n'existe aucune limite de tentatives. Si vous échouez, vous pouvez retenter votre chance immédiatement (en repyant toute fois les frais d'examen). Rappel : en cas de fraude, vous serez interdit de le repasser pendant 2 ans.;"repasser; examen; échoue";SCR_FAQ_015;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-016;INSCRIPTION;1;Faut-il passer l'examen avant ou après avoir déposé sa demande ?;"Dans la plupart des démarches concernées, l'examen civique doit être réussi **avant** le dépôt de votre dossier. L'attestation de réussite est ensuite jointe à votre demande, selon les modalités prévues par l'administration.

👉 Pour vous inscrire facilement, vous pouvez :

- vous rendre dans la rubrique **« Je passe mon examen »** du Coach ;
- ou consulter la page d'inscription de puis choisir votre région et compléter le formulaire d'inscription.";"faut; passer; examen; avant; après; avoir; déposé; demande";SCR_FAQ_016;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-017;INSCRIPTION;2;Où puis-je passer l'examen civique ?;"L'examen se passe dans un **centre agréé** par l'Etat. Frate Formation est organisme agréé. 

Pour trouver une session près de chez vous :

- ouvrez la rubrique **« Je passe mon examen »** du Coach ;
- ou consultez et choisissez votre région.

Vous y trouverez les centres disponibles ainsi que les prochaines dates d'examen.";"passer; examen; civique";SCR_FAQ_017;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-018;INSCRIPTION;3;Comment s'inscrire à l'examen civique ?;"L'inscription est simple.

1. Choisissez la mention correspondant à votre démarche :
   - Carte de Séjour Pluriannuelle (CSP) ;
   - Carte de Résident (CR) ;
   - Naturalisation (NAT).

2. Sélectionnez le centre d'examen de votre choix.

3. Complétez le formulaire d'inscription.

👉 Vous pouvez effectuer cette démarche directement depuis :

- la rubrique **« Je passe mon examen »** du Coach ;
- ou le site officiel de.";"inscrire; examen; civique";SCR_FAQ_018;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-019;INSCRIPTION;4;Combien coûte l'examen civique ?;"Les frais d'inscription sont fixés par chaque centre agréé et peuvent varier.

Le tarif applicable est de 75 € vous sera demandé au moment de votre inscription auprès du centre choisi.. Ce montant est à payer en ligne lors de la réservation. Il n'est pas remboursable si vous changez d'avis ou si vous ratez l'examen.";"coûte; examen; civique";SCR_FAQ_019;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-020;INSCRIPTION;5;Puis-je m'inscrire directement auprès de la préfecture ?;"Non.

L'inscription à l'examen ne s'effectue pas auprès de la préfecture.

Vous devez vous inscrire auprès d'un centre agréé.

Le moyen le plus simple est de :

- utiliser la rubrique **« Je passe mon examen »** du Coach ;
- ou consulter.";"inscrire; directement; auprès; préfecture";SCR_FAQ_020;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-021;INSCRIPTION;6;Quels documents dois-je apporter le jour de l'examen ?;"Le jour de l'examen, pensez à apporter :

- votre convocation imprimée ;
- votre titre de séjour original ou votre passeport (attention : les photocopies sont refusées) ;
- tout autre document mentionné dans votre convocation.

Vérifiez toujours les consignes communiquées par votre centre avant votre déplacement.";"documents; apporter; jour; examen";SCR_FAQ_021;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-022;INSCRIPTION;7;Puis-je changer de centre après mon inscription ?;"Les conditions de modification ou de report dépendent du centre d'examen.

Si vous souhaitez modifier votre inscription, contactez rapidement votre centre afin de connaître les possibilités qui s'offrent à vous.";"changer; centre; après; mon; inscription";SCR_FAQ_022;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-023;INSCRIPTION;8;Puis-je passer l'examen avec un récépissé expiré ?;"Les documents acceptés pour vérifier votre identité sont définis par le centre d'examen.

En cas de doute sur la validité de vos documents, contactez votre centre avant le jour de l'épreuve afin d'éviter tout déplacement inutile.";"passer; examen; avec; récépissé; expiré";SCR_FAQ_023;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-024;INSCRIPTION;9;Comment choisir le centre d'examen le plus proche de chez moi ?;"Depuis la rubrique **« Je passe mon examen »**, le Coach vous oriente vers les centres disponibles.

Vous pouvez également consulter la page de, sélectionner votre région puis choisir le centre qui vous convient.";"choisir; centre; examen; plus; proche; chez; moi";SCR_FAQ_024;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-025;RESULTATS;1;Quel score faut-il obtenir pour réussir l'examen ?;"Le score minimum à obtenir est de 32 bonnes réponses sur 40 (soit 80 % de réussite). Il n'y pas de repassage possible, en cas de score non atteint, il faut repasser l'examen. 

Le Coach vous aide à identifier les thèmes à renforcer.";"score; faut; obtenir; réussir; examen";SCR_FAQ_025;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-026;RESULTATS;2;Que se passe-t-il si j'échoue à l'examen ?;Pas de panique, cela n'annule pas votre demande de visa. Mais vous devez : (1) Vous réinscrire à une nouvelle session, (2) Repayer les frais d'inscription, (3) Attendre la prochaine date disponible. C'est pourquoi il est plus économique de bien se préparer dès la première fois.;"passe; échoue; examen";SCR_FAQ_026;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-027;RESULTATS;3;L'attestation de réussite a-t-elle une date de fin de validité ?;Non. Une fois l'examen réussi, cela est définitif. Vous pourrez réutiliser votre attestation pour effectuer d'autres démarches administratives.;"attestation; réussite; elle; date; fin; validité";SCR_FAQ_027;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-028;RESULTATS;4;Quand reçoit-on les résultats ?;Généralement, vous obtenez le résultat sous 48 h de la part de Frate Formation. L'attestation vous sera envoyé quelques jours après la passation de l'examen.;"quand; reçoit; résultats";SCR_FAQ_028;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-029;OFII;1;Qu'est-ce que l'OFII ?;"L'OFII (Office français de l'immigration et de l'intégration) est un établissement public chargé d'accompagner les personnes étrangères dans leur parcours d'intégration en France.

Il intervient notamment dans :

- l'accueil des nouveaux arrivants ;
- le Contrat d'Intégration Républicaine (CIR) ;
- les formations civiques ;
- les formations linguistiques lorsque cela est nécessaire.";ofii;SCR_FAQ_029;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-030;OFII;2;Qu'est-ce que la formation civique de l'OFII ?;"La formation civique est une formation de 4 jours obligatoire dans le cadre du Contrat d'Intégration Républicaine (CIR).

Elle permet de découvrir :

- les valeurs de la République française ;
- les droits et les devoirs en France ;
- le fonctionnement des institutions ;
- les principales règles de la vie en société.

Cette formation favorise l'intégration des nouveaux arrivants et prépare à l'examen civique, mais ne le remplace pas.";"formation; civique; ofii";SCR_FAQ_030;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-031;OFII;3;Combien de temps dure la formation civique ?;La formation civique de l'OFII dure 4 jours (soit 24 heures au total). Elle se déroule généralement sur 4 journées consécutives ou réparties sur plusieurs semaines.;"temps; dure; formation; civique";SCR_FAQ_031;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-032;OFII;4;Qu'est-ce que le Contrat d'Intégration Républicaine (CIR) ?;"Le Contrat d'Intégration Républicaine (CIR) est un engagement entre l'État français et les primo-arrivants

Il prévoit notamment :

- une formation civique ;
- un accompagnement vers l'intégration ;
- et, lorsque cela est nécessaire, une formation en langue française.

L'objectif est de favoriser une bonne intégration dans la société française. Le CIR est obligatoire pour obtenir une carte de séjour pluriannuelle.";"contrat; intégration; républicaine; cir";SCR_FAQ_032;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-033;OFII;5;Quelle est la différence entre la formation civique et l'examen civique ?;"La formation civique et l'examen civique sont deux dispositifs différents.

La **formation civique** est une formation de 4 jours permettant d'acquérir les connaissances nécessaires sur la France et les valeurs de la République. Elle est gratuite et obligatoire pour les signataires du contrat d'intégration Républicaine (CIR). 

L'**examen civique** permet ensuite de vérifier que ces connaissances sont acquises. Le test est payant et comprend 40 questions. 

La formation prépare donc à l'examen, mais ne le remplace pas.";"différence; entre; formation; civique; examen";SCR_FAQ_033;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-034;OFII;6;La formation civique suffit-elle pour réussir l'examen civique ?;"La formation civique constitue une excellente base, mais elle ne couvre pas toujours l'ensemble des connaissances évaluées lors de l'examen.

Pour augmenter vos chances de réussite, il est conseillé de compléter cette formation par un entraînement régulier avec des questions similaires à celles de l'examen.

Le Coach pédagogique est conçu pour vous accompagner dans cette préparation.";"formation; civique; suffit; elle; réussir; examen";SCR_FAQ_034;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-035;OFII;7;L'OFII organise-t-il l'examen civique ?;"Non.

L'OFII organise la formation civique dans le cadre du Contrat d'Intégration Républicaine.

L'examen civique est organisé par des centres agréés selon les modalités prévues par la réglementation.

Si vous souhaitez passer l'examen, utilisez la rubrique **« Je passe mon examen »** du Coach ou consultez le site de **FRATE Formation** pour trouver un centre et vous inscrire.";"ofii; organise; examen; civique";SCR_FAQ_035;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-036;OFII;8;Que se passe-t-il après la formation civique ?;"À l'issue de la formation, vous poursuivez votre parcours administratif selon votre situation.

Si votre démarche nécessite la réussite de l'examen civique, vous devrez vous inscrire auprès d'un centre agréé afin de passer l'épreuve.

Le Coach pédagogique peut ensuite vous accompagner dans vos révisions jusqu'au jour de l'examen.";"passe; après; formation; civique";SCR_FAQ_036;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-037;ENTRETIEN;1;Qu'est-ce que l'entretien de naturalisation ?;"L'entretien de naturalisation est un rendez-vous organisé par l'administration afin de vérifier que vous remplissez les conditions pour devenir français.

L'agent échange avec vous sur votre parcours, votre intégration, votre connaissance de la langue française ainsi que des valeurs et des principes de la République. Il dure généralement entre 15 et 30 minutes.";"entretien; naturalisation";SCR_FAQ_037;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-038;ENTRETIEN;2;Quelles questions sont posées pendant l'entretien de naturalisation ?;"Les questions peuvent porter notamment sur :

- votre parcours personnel et professionnel en France ;
- vos motivations pour devenir français ;
- vos droits et devoirs ;
- les valeurs de la République (liberté, égalité, fraternité, laïcité...) ;
- les institutions françaises et leur fonctionnement ;
- votre vie quotidienne et votre intégration en France ;
- l'histoire, la culture et la société françaises.

Le contenu peut varier d'un entretien à l'autre.";"questions; posées; pendant; entretien; naturalisation";SCR_FAQ_038;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-039;ENTRETIEN;3;"Comment répondre à la question : ""Pourquoi souhaitez-vous devenir français ?""";"Il n'existe pas de réponse unique.

L'important est de répondre de manière personnelle, sincère et cohérente avec votre parcours.

Expliquez ce qui motive votre demande (intégration, projet de vie, attachement à la France, etc.) sans chercher à réciter une réponse apprise par cœur. Evitez les réponses trop génériques comme ""mes enfants sont nés ici alors je souhaite devenir français"".";"répondre; question; pourquoi; souhaitez; vous; devenir; français";SCR_FAQ_039;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-040;ENTRETIEN;4;Combien de temps dure l'entretien de naturalisation ?;"La durée peut varier selon les situations.

En général, un entretien dure entre **15 et 30 minutes**, mais il peut être plus court ou plus long selon votre dossier et les questions complémentaires posées par l'agent. Si vous avez une parfaite maîtrise de la langue française alors l'entretien peut être court. Dans tous les cas ne vous inquiétez pas du temps passé en entretien, celui-ci n'est pas un indicateur de réussite !";"temps; dure; entretien; naturalisation";SCR_FAQ_040;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-041;ENTRETIEN;5;Quelle est la différence entre l'entretien de naturalisation et l'examen civique ?;"L'examen civique évalue vos connaissances à l'aide d'un QCM (40 questions).

L'entretien de naturalisation permet à un agent d'échanger directement avec vous afin d'apprécier votre intégration, votre niveau de français et votre connaissance des valeurs de la République.

Les deux sont complémentaires mais répondent à des objectifs différents.L'examen teste vos connaissances, alors que l'entretien teste votre assimilation à la culture française.";"différence; entre; entretien; naturalisation; examen; civique";SCR_FAQ_041;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-042;ENTRETIEN;6;L'examen civique est-il obligatoire pour obtenir la naturalisation ?;Oui, l'examen civique fait partie des étapes à prévoir pour une demande de naturalisation, sauf cas de dispense prévus par les textes applicables. Il ne remplace pas l'entretien d'assimilation : l'examen vérifie vos connaissances par QCM, tandis que l'entretien évalue votre parcours, votre intégration et votre expression orale.;"examen; civique; obligatoire; obtenir; naturalisation";SCR_FAQ_042;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-043;ENTRETIEN;7;Comment bien préparer son entretien de naturalisation ?;"Pour préparer votre entretien, il est conseillé de :

- connaître les valeurs de la République ;
- maîtriser les principales institutions françaises ;
- revoir les grandes dates de l'histoire de France ;
- être capable de présenter votre parcours personnel ;
- s'entraîner à l'oral en français ; 
- Relisez le livret du Citoyen disponible sur le site du gouvernement.📝 **[Lire le livret](https://www.immigration.interieur.gouv.fr/documentation/guides-textes-et-brochures/livret-du-citoyen.html)**

- répondre naturellement aux questions, sans réciter un texte appris par cœur.

Le Coach pédagogique vous aide à travailler chacun de ces points progressivement.";"bien; préparer; son; entretien; naturalisation";SCR_FAQ_043;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-044;ENTRETIEN;8;Dois-je parler parfaitement français pour réussir l'entretien de naturalisation ?;"Non.

L'objectif n'est pas de parler parfaitement français, mais de démontrer que vous possédez le niveau de langue exigé par la réglementation et que vous êtes capable de comprendre les questions et d'y répondre de manière claire.

N'hésitez pas à demander à l'agent de reformuler une question si vous ne l'avez pas comprise.";"parler; parfaitement; français; réussir; entretien; naturalisation";SCR_FAQ_044;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-045;ENTRETIEN;9;Puis-je demander à l'agent de répéter ou de reformuler une question ?;"Oui.

Si vous ne comprenez pas une question, vous pouvez demander poliment à l'agent de la répéter ou de la reformuler.

Il est préférable de demander une explication plutôt que de répondre au hasard.";"demander; agent; répéter; reformuler; question";SCR_FAQ_045;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-046;ENTRETIEN;10;Quels documents dois-je apporter le jour de l'entretien ?;"Vous devez apporter les documents demandés dans votre convocation.

Selon votre situation, il peut s'agir notamment :

- d'une pièce d'identité ;
- de votre titre de séjour ;
- de votre convocation ;
- et des autres justificatifs demandés par l'administration.

Vérifiez toujours votre convocation avant le rendez-vous.";"documents; apporter; jour; entretien";SCR_FAQ_046;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-047;ENTRETIEN;11;Comment dois-je m'habiller pour l'entretien de naturalisation ?;"Il n'existe pas de tenue obligatoire.

Une tenue propre, soignée et adaptée à un entretien administratif est recommandée.

L'essentiel est de vous présenter avec sérieux et de rester naturel.";"habiller; entretien; naturalisation";SCR_FAQ_047;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-048;ENTRETIEN;12;Que faire si je ne comprends pas une question pendant l'entretien ?;"Ne répondez pas au hasard.

Demandez calmement à l'agent de répéter ou de reformuler la question.

L'entretien est un échange. Il est préférable de demander une précision plutôt que de donner une réponse incorrecte.";"faire; comprends; pas; question; pendant; entretien";SCR_FAQ_048;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-049;ENTRETIEN;13;L'entretien de naturalisation est-il éliminatoire ?;"L'entretien constitue une étape importante de la procédure de naturalisation.

Il permet notamment d'évaluer votre niveau de français, votre connaissance des valeurs de la République et votre intégration dans la société française.

L'administration prend ensuite sa décision en tenant compte de l'ensemble de votre dossier, et non de l'entretien uniquement.";"entretien; naturalisation; éliminatoire";SCR_FAQ_049;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-050;ENTRETIEN;14;Puis-je préparer les réponses à l'avance ?;"Oui, mais il est déconseillé d'apprendre des réponses par cœur.

L'agent recherche avant tout des réponses personnelles, cohérentes et sincères.

Le Coach pédagogique vous aide à comprendre les notions et à vous entraîner à répondre naturellement.";"préparer; réponses; avance";SCR_FAQ_050;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-051;ENTRETIEN;15;Que faire si je suis stressé le jour de l'entretien ?;"Le stress est normal.

Prenez le temps d'écouter les questions, répondez calmement et n'hésitez pas à demander qu'une question soit répétée si nécessaire.

Une bonne préparation est le meilleur moyen de gagner en confiance.";"faire; suis; stressé; jour; entretien";SCR_FAQ_051;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-052;ENTRETIEN;16;Faut-il apprendre des réponses par cœur pour réussir l'entretien ?;"Non.

L'entretien de naturalisation n'est pas un exercice de récitation.

L'agent cherche avant tout à vérifier que vous comprenez les valeurs de la République, que vous êtes intégré dans la société française et que vous êtes capable de répondre avec vos propres mots.";"faut; apprendre; réponses; par; réussir; entretien";SCR_FAQ_052;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-053;NOVAFRATE;1;Les questions proposées sur NovaFrate sont-elles officielles ?;"Oui.

Les contenus proposés sur NovaFrate sont élaborés à partir des référentiels officiels de l'examen civique publiés par les autorités françaises.

Vous retrouverez :

- les connaissances attendues à l'examen ;
- des entraînements inspirés des questions officielles ;
- des examens blancs ;
- des explications pédagogiques pour mieux comprendre les notions.

L'objectif est de vous préparer efficacement aux différentes mentions de l'examen civique.";"questions; proposées; sur; novafrate; elles; officielles";SCR_FAQ_053;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-054;NOVAFRATE;2;Que vais-je trouver sur NovaFrate ?;"NovaFrate est une plateforme de préparation à l'examen civique.

Vous y trouverez notamment :

- le Coach pédagogique intelligent ;
- des entraînements par thématique ;
- des examens blancs ;
- des explications détaillées après chaque réponse ;
- des ressources de révision ;
- des fiches de synthèse ;
- un suivi de votre progression.

La plateforme est conçue pour vous accompagner jusqu'au jour de votre examen.";"vais; trouver; sur; novafrate";SCR_FAQ_054;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-055;NOVAFRATE;3;Quand vais-je recevoir mes accès à NovaFrate ?;"Après validation de votre inscription à l'examen auprès de FRATE Formation, vos identifiants NovaFrate sont généralement envoyés dans un délai de **24 heures ouvrées**.

Pensez également à vérifier votre dossier « Courriers indésirables » ou « Spam » si vous ne recevez pas votre e-mail.";"quand; vais; recevoir; mes; accès; novafrate";SCR_FAQ_055;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-056;NOVAFRATE;4;Comment accéder à NovaFrate ?;"Dès réception de vos identifiants, il vous suffit de vous connecter à la plateforme NovaFrate avec les informations qui vous ont été communiquées par e-mail.

En cas de difficulté de connexion, vous pouvez contacter le support de FRATE Formation.";"accéder; novafrate";SCR_FAQ_056;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-057;NOVAFRATE;5;Combien de temps faut-il pour préparer l'examen civique ?;"La durée de préparation dépend de votre niveau de départ.

Une révision régulière, même de courte durée, est généralement plus efficace que de longues séances espacées.

Le Coach pédagogique adapte progressivement les questions afin de vous aider à progresser à votre rythme.";"temps; faut; préparer; examen; civique";SCR_FAQ_057;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-058;NOVAFRATE;6;Le contenu est-il régulièrement mis à jour ?;"Oui.

Les contenus pédagogiques sont mis à jour afin de rester conformes aux évolutions de la réglementation, des référentiels officiels et des modalités de l'examen civique.";"contenu; régulièrement; mis; jour";SCR_FAQ_058;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-059;NOVAFRATE;7;Dois-je installer une application pour utiliser NovaFrate ?;"Non.

NovaFrate est accessible directement en ligne depuis un ordinateur, une tablette ou un smartphone disposant d'une connexion Internet.

Aucune installation particulière n'est nécessaire.";"installer; application; utiliser; novafrate";SCR_FAQ_059;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-060;NOVAFRATE;8;Le Coach pédagogique peut-il vraiment m'aider à réussir ?;"Le Coach pédagogique a été conçu pour vous accompagner tout au long de votre préparation.

Il vous aide à :

- comprendre les notions importantes ;
- identifier vos points faibles ;
- réviser les thèmes à renforcer ;
- vous entraîner dans des conditions proches de l'examen.

Son objectif est de rendre vos révisions plus simples, plus efficaces et plus personnalisées.";"coach; pédagogique; vraiment; aider; réussir";SCR_FAQ_060;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-061;NOVAFRATE;9;Comment contacter le support de FRATE Formation ?;"Si vous avez une question concernant votre inscription, votre accès à NovaFrate ou le déroulement de votre préparation, vous pouvez utiliser le formulaire de contact disponible sur le site de FRATE Formation.

L'équipe vous répondra dans les meilleurs délais.

👉 Rendez-vous sur la page **Examen civique** puis dans la rubrique **« Un problème ? Des questions ? Contactez-nous ! »** pour accéder au formulaire de contact.";"contacter; support; frate; formation";SCR_FAQ_061;Oui;FAQ_COACH_CIVIQUE.md;
FAQ-062;NOVAFRATE;10;Je n'ai pas trouvé la réponse à ma question. Que puis-je faire ?;"Si votre question ne figure pas dans cette FAQ :

- utilisez le Coach conversationnel de NovaFrate ;
- consultez les ressources pédagogiques disponibles sur la plateforme ;
- ou contactez directement l'équipe de FRATE Formation via le formulaire de contact.

Nous vous accompagnerons pour trouver la réponse la plus adaptée à votre situation.";"pas; trouvé; réponse; question; faire";SCR_FAQ_062;Oui;FAQ_COACH_CIVIQUE.md;
