id_regle;intention;type_correspondance;expression_principale;contexte_necessaire;exclusion;entite_attendue;variable_produite;ecran_si_complet;priorite;ecran_si_information_manquante;message_de_confirmation;variable_obligatoire;action_de_repli;actif
QLR_005;;;;;;;;;;SCR_QL_GEO_MISSING;Je vais rechercher les centres les plus proches.;{saisie_localisation};Reformuler ou ouvrir le module générique;Oui
QLR_006;;;;;;;;;;SCR_QL_GEO_MISSING;Je recherche les centres et sessions associés au code postal {code_postal}.;{code_postal};Reformuler ou ouvrir le module générique;Oui
QLR_007;;;;;;;;;;SCR_PASS_REGIONS;Je recherche les centres et sessions de la région {region}.;{region};Reformuler ou ouvrir le module générique;Oui
QLR_008;;;;;;;;;;SCR_PASS_REGIONS;Je vous oriente vers l’inscription adaptée.;"{ville}; {region}";Reformuler ou ouvrir le module générique;Oui
QLR_009;;;;;;;;;;SCR_PASS_REGIONS;Votre question concerne l’inscription à l’examen.;"{ville}; {region}";Reformuler ou ouvrir le module générique;Oui
QLR_010;;;;;;;;;;SCR_FAQ_SEARCH;Je vous montre la réponse sur le prix de l’examen.;;Reformuler ou ouvrir le module générique;Oui
QLR_011;;;;;;;;;;SCR_FAQ_SEARCH;Je vous montre le format de l’examen.;;Reformuler ou ouvrir le module générique;Oui
QLR_012;;;;;;;;;;SCR_FAQ_SEARCH;Je vous montre le score nécessaire pour réussir.;;Reformuler ou ouvrir le module générique;Oui
QLR_013;;;;;;;;;;SCR_FAQ_SEARCH;Je vous explique quoi faire après un échec.;;Reformuler ou ouvrir le module générique;Oui
QLR_014;;;;;;;;;;SCR_QL_TERM_MISSING;Je recherche la définition de « {mot_recherche} ».;{mot_recherche};Reformuler ou ouvrir le module générique;Oui
QLR_015;;;;;;;;;;SCR_QL_TERM_MISSING;Vous cherchez la définition de « {mot_recherche} ».;{mot_recherche};Reformuler ou ouvrir le module générique;Oui
QLR_016;;;;;;;;;;SCR_GLO_SEARCH;Je vous montre les ressources sur la laïcité.;{mot_recherche};Reformuler ou ouvrir le module générique;Oui
QLR_017;;;;;;;;;;SCR_REV_MENU;Je vous oriente vers les révisions adaptées.;{theme};Reformuler ou ouvrir le module générique;Oui
QLR_018;;;;;;;;;;SCR_ENT_MENU;Je vous oriente vers un entraînement.;"{type_examen}; {theme}";Reformuler ou ouvrir le module générique;Oui
QLR_019;;;;;;;;;;SCR_PREP_MENU;Je vous oriente vers les examens blancs.;{type_examen};Reformuler ou ouvrir le module générique;Oui
QLR_020;;;;;;;;;;SCR_CONS_MENU;Je vous montre des méthodes pour mieux mémoriser.;;Reformuler ou ouvrir le module générique;Oui
QLR_021;;;;;;;;;;SCR_CONS_MENU;Je vous montre des conseils pour gérer le stress.;;Reformuler ou ouvrir le module générique;Oui
QLR_022;;;;;;;;;;SCR_BIL_MENU;Je vous oriente vers votre bilan de progression.;;Reformuler ou ouvrir le module générique;Oui
QLR_023;;;;;;;;;;SCR_FAQ_SEARCH;Je recherche votre question dans la FAQ.;;Reformuler ou ouvrir le module générique;Oui
