id_notion;mot;mot_normalise;id_theme;theme;categorie;definition;a_retenir;ne_pas_confondre;voir_aussi;chapitre;lettre;groupe_alphabetique;mots_cles;id_ecran;actif
GLO0042;Député;depute;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;Le député représente les citoyens à l'Assemblée nationale.;Il vote les lois.;;Assemblée nationale;Chapitre 2;D;D–F;"assemblee nationale; depute";SCR_GLO_0042;Oui
GLO0043;Député européen;depute europeen;T2;Système institutionnel et politique français;UNION EUROPÉENNE;Représentant élu des citoyens au Parlement européen.;Les députés européens sont élus tous les cinq ans.;;Parlement européen;Chapitre 5;D;D–F;"depute europeen; parlement europeen";SCR_GLO_0043;Oui
GLO0044;Devise de la République;devise de la republique;T1;Principes et valeurs de la République;LES VALEURS DE LA RÉPUBLIQUE;"La devise officielle de la République française est :
Liberté, Égalité, Fraternité.";Elle représente les trois valeurs fondamentales de la République.;;"Liberté; Égalité; Fraternité";Chapitre 2;D;D–F;"devise de la republique; egalite; fraternite; liberte";SCR_GLO_0044;Oui
GLO0045;Dignité humaine;dignite humaine;T3;Droits et devoirs;LES DROITS FONDAMENTAUX;Principe selon lequel chaque personne doit être respectée et ne jamais être traitée comme un objet.;La dignité humaine est protégée par la loi.;;Droits fondamentaux;Chapitre 1;D;D–F;"dignite humaine; droits fondamentaux";SCR_GLO_0045;Oui
GLO0046;Drapeau français;drapeau francais;T1;Principes et valeurs de la République;LES SYMBOLES DE LA RÉPUBLIQUE;Le drapeau national est composé de trois bandes verticales bleue, blanche et rouge.;Il est l'un des symboles officiels de la République.;;La Marseillaise;Chapitre 3;D;D–F;"drapeau francais; la marseillaise";SCR_GLO_0046;Oui
GLO0047;Droits fondamentaux;droits fondamentaux;T3;Droits et devoirs;LES DROITS FONDAMENTAUX;Ensemble des droits et libertés reconnus à toute personne et garantis par la Constitution et les textes fondamentaux.;Ils protègent la dignité, la liberté et l'égalité de chacun.;;"Constitution; Liberté; Égalité";Chapitre 1;D;D–F;"constitution; droits fondamentaux; egalite; liberte";SCR_GLO_0047;Oui
GLO0048;École;ecole;T5;Vivre dans la société française;L'ÉDUCATION;Établissement où les enfants reçoivent un enseignement.;L'instruction est obligatoire de 3 à 16 ans.;;"Collège; Lycée";Chapitre 4;E;D–F;"college; ecole; lycee";SCR_GLO_0048;Oui
GLO0049;Égalité;egalite;"T1; T3";"Principes et valeurs de la République; Droits et devoirs";"LES VALEURS DE LA RÉPUBLIQUE; LES DROITS FONDAMENTAUX";"Principe selon lequel toutes les personnes disposent des mêmes droits devant la loi.

Principe selon lequel toutes les personnes bénéficient des mêmes droits devant la loi.";"La loi est la même pour tous.

Aucune discrimination n'est autorisée.";;"Liberté; Discrimination";"Chapitre 2; Chapitre 1";E;D–F;"discrimination; egalite; liberte";SCR_GLO_0049;Oui
GLO0050;Élection;election;T2;Système institutionnel et politique français;LES ÉLECTIONS;Procédure permettant aux citoyens de choisir leurs représentants.;Les élections sont au cœur de la démocratie.;;Suffrage universel;Chapitre 4;E;D–F;"election; suffrage universel";SCR_GLO_0050;Oui
GLO0051;Employeur;employeur;T5;Vivre dans la société française;LE TRAVAIL;Personne ou entreprise qui embauche un salarié.;L'employeur doit respecter le Code du travail.;;Salarié;Chapitre 2;E;D–F;"employeur; salarie";SCR_GLO_0051;Oui
GLO0052;Environnement;environnement;T3;Droits et devoirs;LES RESPONSABILITÉS;Ensemble des éléments naturels que chacun doit protéger.;La protection de l'environnement est une responsabilité collective.;;Charte de l'environnement;Chapitre 2;E;D–F;"charte de l environnement; environnement";SCR_GLO_0052;Oui
GLO0053;Espace Schengen;espace schengen;T2;Système institutionnel et politique français;UNION EUROPÉENNE;Espace dans lequel les contrôles aux frontières intérieures sont supprimés entre les États participants.;La France fait partie de l'espace Schengen.;;Union européenne;Chapitre 5;E;D–F;"espace schengen; union europeenne";SCR_GLO_0053;Oui
GLO0054;État;etat;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;L'État est l'organisation politique qui exerce son autorité sur le territoire français et garantit le respect des lois.;L'État assure les services publics et protège les citoyens.;;"République; Gouvernement; Préfet";Chapitre 1;E;D–F;"etat; gouvernement; prefet; republique";SCR_GLO_0054;Oui
GLO0055;Euro;euro;T2;Système institutionnel et politique français;UNION EUROPÉENNE;Monnaie utilisée par plusieurs pays de l'Union européenne.;L'euro est la monnaie officielle de la France.;;Union européenne;Chapitre 5;E;D–F;"euro; union europeenne";SCR_GLO_0055;Oui
GLO0056;Fête de la Musique;fete de la musique;T4;Histoire, géographie, patrimoine et culture;LA CULTURE FRANÇAISE;Manifestation culturelle organisée chaque année le 21 juin.;Elle permet à tous de partager la musique gratuitement.;;Culture;Chapitre 3;F;D–F;"culture; fete de la musique";SCR_GLO_0056;Oui
GLO0057;Fête nationale;fete nationale;T1;Principes et valeurs de la République;LES SYMBOLES DE LA RÉPUBLIQUE;La fête nationale française est célébrée chaque année le 14 juillet.;Elle commémore la prise de la Bastille et la Fête de la Fédération.;;République;Chapitre 3;F;D–F;"fete nationale; republique";SCR_GLO_0057;Oui
GLO0058;France métropolitaine;france metropolitaine;T4;Histoire, géographie, patrimoine et culture;LA GÉOGRAPHIE DE LA FRANCE;Partie du territoire français située en Europe.;Elle est composée de 13 régions.;;Outre-mer;Chapitre 2;F;D–F;"france metropolitaine; outre mer";SCR_GLO_0058;Oui
GLO0059;France Services;france services;T5;Vivre dans la société française;LES SERVICES PUBLICS;Réseau de guichets de proximité permettant d'effectuer de nombreuses démarches administratives.;France Services accompagne les usagers gratuitement.;;Services publics;Chapitre 5;F;D–F;"france services; services publics";SCR_GLO_0059;Oui
GLO0060;France Travail;france travail;T5;Vivre dans la société française;LE TRAVAIL;Établissement public qui accompagne les personnes dans leur recherche d'emploi.;France Travail remplace Pôle emploi.;;"Emploi; Formation";Chapitre 2;F;D–F;"emploi; formation; france travail";SCR_GLO_0060;Oui
GLO0061;Francophonie;francophonie;T4;Histoire, géographie, patrimoine et culture;LA CULTURE FRANÇAISE;Ensemble des personnes et des pays qui utilisent la langue française.;Le français est parlé sur les cinq continents.;;Langue française;Chapitre 3;F;D–F;"francophonie; langue francaise";SCR_GLO_0061;Oui
GLO0062;Fraternité;fraternite;T1;Principes et valeurs de la République;LES VALEURS DE LA RÉPUBLIQUE;Valeur qui encourage la solidarité, l'entraide et le respect entre les personnes.;La fraternité favorise le vivre ensemble.;;Solidarité;Chapitre 2;F;D–F;"fraternite; solidarite";SCR_GLO_0062;Oui
GLO0063;Gastronomie française;gastronomie francaise;T4;Histoire, géographie, patrimoine et culture;LA CULTURE FRANÇAISE;Ensemble des traditions culinaires françaises.;Le repas gastronomique des Français est inscrit au patrimoine culturel immatériel de l'UNESCO.;;UNESCO;Chapitre 3;G;G–L;"gastronomie francaise; unesco";SCR_GLO_0063;Oui
GLO0064;Gaule;gaule;T4;Histoire, géographie, patrimoine et culture;L'HISTOIRE DE FRANCE;Nom donné au territoire de la France actuelle avant la conquête romaine.;La Gaule était peuplée de peuples celtes.;;"Celtes; Vercingétorix; Jules César";Chapitre 1;G;G–L;"celtes; gaule; jules cesar; vercingetorix";SCR_GLO_0064;Oui
GLO0065;Gendarmerie;gendarmerie;T3;Droits et devoirs;LES DEVOIRS;Force militaire chargée de missions de sécurité publique.;Elle intervient principalement en zone rurale.;;Police;Chapitre 2;G;G–L;"gendarmerie; police";SCR_GLO_0065;Oui
GLO0066;Gouvernement;gouvernement;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;"Le Gouvernement conduit la politique de la Nation.
Il est composé du Premier ministre et des ministres.";Il prépare les projets de loi et applique les lois.;"Le Gouvernement propose les lois.
Le Parlement les vote.";"Premier ministre; Parlement";Chapitre 1;G;G–L;"gouvernement; parlement; premier ministre";SCR_GLO_0066;Oui
GLO0067;Guadeloupe;guadeloupe;T4;Histoire, géographie, patrimoine et culture;LES RÉGIONS ET LES TERRITOIRES;Département et région d'outre-mer situé dans les Caraïbes.;Elle est connue pour ses plages, son volcan de la Soufrière et sa biodiversité.;;Outre-mer;Chapitre 2;G;G–L;"guadeloupe; outre mer";SCR_GLO_0067;Oui
GLO0068;Guyane;guyane;T4;Histoire, géographie, patrimoine et culture;LES RÉGIONS ET LES TERRITOIRES;Département et région d'outre-mer situé en Amérique du Sud.;La Guyane accueille le Centre spatial guyanais de Kourou et possède une vaste forêt amazonienne.;;Outre-mer;Chapitre 2;G;G–L;"guyane; outre mer";SCR_GLO_0068;Oui
GLO0069;Harcèlement;harcelement;T3;Droits et devoirs;LES VIOLENCES;Violences ou comportements répétés ayant pour effet de dégrader les conditions de vie d'une personne.;Le harcèlement est puni par la loi.;;Harcèlement scolaire;Chapitre 2;H;G–L;"harcelement; harcelement scolaire";SCR_GLO_0069;Oui
GLO0070;Harcèlement scolaire;harcelement scolaire;T3;Droits et devoirs;LES VIOLENCES;Violences répétées subies par un élève de la part d'autres élèves.;Il s'agit d'un délit.;;Violence;Chapitre 2;H;G–L;"harcelement scolaire; violence";SCR_GLO_0070;Oui
GLO0071;Hôpital;hopital;T5;Vivre dans la société française;LA SANTÉ;Établissement de santé où sont assurés les soins médicaux et chirurgicaux.;Les hôpitaux publics accueillent tous les patients.;;Urgences;Chapitre 1;H;G–L;"hopital; urgences";SCR_GLO_0071;Oui
GLO0072;Île-de-France;ile de france;T4;Histoire, géographie, patrimoine et culture;LES RÉGIONS ET LES TERRITOIRES;Région où se situe Paris, capitale de la France.;Elle est la région la plus peuplée du pays et concentre de nombreuses institutions nationales.;;Paris;Chapitre 2;I;G–L;"ile de france; paris";SCR_GLO_0072;Oui
GLO0073;Impôt;impot;T3;Droits et devoirs;LES RESPONSABILITÉS;Somme versée à l'État ou aux collectivités pour financer les services publics.;Le paiement des impôts est une obligation.;;Services publics;Chapitre 2;I;G–L;"impot; services publics";SCR_GLO_0073;Oui
GLO0074;Infraction;infraction;T3;Droits et devoirs;LES DEVOIRS;Acte interdit par la loi.;Une infraction peut être sanctionnée.;;"Contravention; Délit; Crime";Chapitre 2;I;G–L;"contravention; crime; delit; infraction";SCR_GLO_0074;Oui
GLO0075;Intégrité de la personne;integrite de la personne;T3;Droits et devoirs;LES DROITS FONDAMENTAUX;Droit de chacun à la protection de son corps et de son esprit.;Toute atteinte injustifiée à l'intégrité est interdite.;;Dignité humaine;Chapitre 1;I;G–L;"dignite humaine; integrite de la personne";SCR_GLO_0075;Oui
GLO0076;Journées européennes du patrimoine;journees europeennes du patrimoine;T4;Histoire, géographie, patrimoine et culture;LA CULTURE FRANÇAISE;Événement annuel permettant de découvrir gratuitement de nombreux lieux patrimoniaux.;Elles ont lieu chaque année en septembre.;;Patrimoine;Chapitre 3;J;G–L;"journees europeennes du patrimoine; patrimoine";SCR_GLO_0076;Oui
GLO0077;Justice;justice;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;La justice règle les conflits et sanctionne les infractions.;Elle est indépendante.;;Tribunal;Chapitre 2;J;G–L;"justice; tribunal";SCR_GLO_0077;Oui
GLO0078;La Marseillaise;la marseillaise;T1;Principes et valeurs de la République;LES SYMBOLES DE LA RÉPUBLIQUE;La Marseillaise est l'hymne national français.;Elle est chantée lors des cérémonies officielles.;;Drapeau français;Chapitre 3;L;G–L;"drapeau francais; la marseillaise";SCR_GLO_0078;Oui
GLO0079;La Réunion;la reunion;T4;Histoire, géographie, patrimoine et culture;LES RÉGIONS ET LES TERRITOIRES;Département et région d'outre-mer situé dans l'océan Indien.;L'île est connue pour ses cirques, son volcan actif et ses paysages naturels.;;Outre-mer;Chapitre 2;L;G–L;"la reunion; outre mer";SCR_GLO_0079;Oui
GLO0080;Laïcité;laicite;T1;Principes et valeurs de la République;LES PRINCIPES RÉPUBLICAINS;Principe garantissant la liberté de conscience, la neutralité de l'État et le respect de toutes les convictions.;La République respecte toutes les croyances et garantit la liberté de religion ou de ne pas avoir de religion.;"La laïcité n'interdit pas les religions.
Elle garantit leur libre exercice dans le respect de la loi.";"Neutralité; Liberté de conscience";Chapitre 4;L;G–L;"laicite; liberte de conscience; neutralite";SCR_GLO_0080;Oui
GLO0081;Langue de la République;langue de la republique;T1;Principes et valeurs de la République;LANGUE ET ENGAGEMENT RÉPUBLICAIN;Le français est la langue officielle de la République française.;Le français est utilisé dans les administrations, les écoles et les services publics.;;République;Chapitre 5;L;G–L;"langue de la republique; republique";SCR_GLO_0081;Oui
GLO0082;Liberté;liberte;"T1; T3";"Principes et valeurs de la République; Droits et devoirs";"LES VALEURS DE LA RÉPUBLIQUE; LES DROITS FONDAMENTAUX";"Valeur qui permet à chacun de penser, de s'exprimer et d'agir dans le respect de la loi et des autres.

Droit reconnu à chacun de penser, de s'exprimer et d'agir dans le respect de la loi.";"La liberté s'exerce dans le respect des droits d'autrui.

La liberté est un droit fondamental.";"Liberté ≠ absence de règles.

La liberté ne permet pas de porter atteinte aux droits des autres.";"Égalité; Fraternité; Liberté d'expression";"Chapitre 2; Chapitre 1";L;G–L;"egalite; fraternite; liberte; liberte d expression";SCR_GLO_0082;Oui
GLO0083;Liberté de conscience;liberte de conscience;T1;Principes et valeurs de la République;LES PRINCIPES RÉPUBLICAINS;Droit de choisir librement ses convictions religieuses, philosophiques ou de ne pas en avoir.;Cette liberté est protégée par la République.;;Laïcité;Chapitre 4;L;G–L;"laicite; liberte de conscience";SCR_GLO_0083;Oui
GLO0084;Locataire;locataire;T5;Vivre dans la société française;LE LOGEMENT;Personne qui loue un logement.;Le locataire doit payer son loyer et entretenir le logement.;;Bail;Chapitre 3;L;G–L;"bail; locataire";SCR_GLO_0084;Oui
GLO0085;Loi;loi;T3;Droits et devoirs;LES DEVOIRS;Règle votée par le Parlement qui s'impose à tous.;Toute personne vivant en France doit respecter la loi.;;Parlement;Chapitre 2;L;G–L;"loi; parlement";SCR_GLO_0085;Oui
GLO0086;Lycée;lycee;T5;Vivre dans la société française;L'ÉDUCATION;Établissement préparant les élèves au baccalauréat ou à une formation professionnelle.;Il existe des lycées généraux, technologiques et professionnels.;;Baccalauréat;Chapitre 4;L;G–L;"baccalaureat; lycee";SCR_GLO_0086;Oui
GLO0087;Maire;maire;T2;Système institutionnel et politique français;COLLECTIVITÉS TERRITORIALES;Le maire dirige une commune.;Il est élu par le conseil municipal.;"Le maire dirige une commune.
Le préfet représente l'État.";"Commune; Préfet";Chapitre 3;M;M–P;"commune; maire; prefet";SCR_GLO_0087;Oui
GLO0088;Mairie;mairie;T5;Vivre dans la société française;LES SERVICES PUBLICS;Administration de la commune dirigée par le maire.;De nombreuses démarches administratives y sont réalisées.;;"Commune; Maire";Chapitre 5;M;M–P;"commune; maire; mairie";SCR_GLO_0088;Oui
GLO0089;Marianne;marianne;T1;Principes et valeurs de la République;LES SYMBOLES DE LA RÉPUBLIQUE;Marianne est la représentation symbolique de la République française.;Elle symbolise la liberté et la République.;;République;Chapitre 3;M;M–P;"marianne; republique";SCR_GLO_0089;Oui
GLO0090;Martinique;martinique;T4;Histoire, géographie, patrimoine et culture;LES RÉGIONS ET LES TERRITOIRES;Département et région d'outre-mer situé dans les Caraïbes.;La Martinique est célèbre pour la montagne Pelée et son patrimoine culturel.;;Outre-mer;Chapitre 2;M;M–P;"martinique; outre mer";SCR_GLO_0090;Oui
GLO0091;Mayotte;mayotte;T4;Histoire, géographie, patrimoine et culture;LES RÉGIONS ET LES TERRITOIRES;Département et région d'outre-mer situé dans l'océan Indien.;Mayotte est le département le plus récent de la République française.;;Outre-mer;Chapitre 2;M;M–P;"mayotte; outre mer";SCR_GLO_0091;Oui
